gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
MAEA	Horvath	3	0.00056971213220933	0.000244787892123701	0	3	295
EXD3	Horvath	3	0.000588377506267956	0.000370923654804689	0	3	296
AGRN	Horvath	3	0.000590178663502397	0.000317827632513057	0	3	297
PSMB9, TAP1	Horvath	3	0.000597235204234539	0.000527986220375833	0	3	298
C16orf74	Horvath	3	0.000605423118237122	0.000382961586766152	0	3	299
ASPSCR1	Horvath	3	0.000633360089013289	0.000330477506446834	0	3	300
SYT8	Horvath	3	0.000661638758567488	0.000399999160607824	0	3	301
TIAM2	Horvath	3	0.000682698390832012	0.000469267947590751	1	2	302
OBSL1	Horvath	3	0.000683277912570664	0.000347992919049951	0	3	303
PPP2R2C	Horvath	3	0.000700627908173748	0.000450771987854376	0	3	304
DNAH2	Horvath	3	0.000707541079063282	0.000377755828644754	0	3	305
DNAH10	Horvath	3	0.00071343719655871	0.000345021733107744	0	3	306
FBXO31	Horvath	3	0.000771129663696859	0.000245732331767268	0	3	307
MOB2	Horvath	3	0.000784712705882448	0.000308075225347837	0	3	308
TOP1MT	Horvath	3	0.000832800448919114	0.000183053362304844	0	3	309
CACNA1C	Horvath	3	0.000835492163595835	0.000387447857302188	0	3	310
TRIM26	Horvath	3	0.000843899974314015	0.0002783642813715	0	3	311
APBA2	Horvath	3	0.000887683793050172	0.000380780245735355	0	3	312
KLHDC4	Horvath	3	0.000980022222091521	0.000298476165857267	0	3	313
RNF213	Horvath	3	0.000994231065209959	0.000284065197853934	0	3	314
CLYBL	Horvath	3	0.00101641669366749	0.000622511171174262	1	2	315
TTYH3	Horvath	3	0.00111693280083711	0.000309762620503524	0	3	316
C1orf159	Horvath	3	0.00116029557372201	0.000249604621582929	0	3	317
ASAP1	Horvath	3	0.00118920889587597	0.000593105627885895	0	3	318
PCBP3	Horvath	3	0.001273466494768	0.000333664768121695	0	3	319
KIF1A	Horvath	3	0.00139829126802877	0.000663312045221007	0	3	320
JAKMIP3	Horvath	3	0.00145980516069219	0.000381548432373132	0	3	321
KALRN	Horvath	3	0.00151028516854678	0.000339128002293479	0	3	322
TRIM27	Horvath	3	0.00152276355844692	0.00023851963793809	0	3	323
SNX29P2	Horvath	3	0.00164024799548296	0.000417384467661871	0	3	324
ARHGAP39	Horvath	3	0.00167812163305891	0.00042651727390305	0	3	325
PRMT8	Horvath	3	0.00190304472463128	0.000606499704741438	0	3	326
RGMA	Horvath	3	0.00192550861166196	0.000523271466724039	0	3	327
ACOX3	Horvath	3	0.00228447315224473	0.000262773702748485	0	3	328
VIPR2	Horvath	3	0.00234625733133455	0.00027508796665828	0	3	329
MRPL23	Horvath	3	0.00246151613013048	0.000407869543007001	0	3	330
CROCC	Horvath	3	0.00360566192906875	0.000378826725504066	1	2	331
EP400	Horvath	3	0.00451991625877153	0.000318349596538672	0	3	332
CLEC16A	Horvath	2	4.04651433838831e-06	0.00072760136552316	0	2	333
IRF8	Horvath	2	4.82413801386978e-06	0.000422419361722996	0	2	334
CBS	Horvath	2	7.21970520420434e-06	0.000594654401922744	0	2	335
GNA12	Horvath	2	1.03795417206943e-05	0.000445640766789332	0	2	336
AUTS2	Horvath	2	1.31215510210727e-05	0.000399665919586752	0	2	337
CCDC57	Horvath	2	1.37860962840871e-05	0.000289150415389819	0	2	338
C1orf132	Horvath	2	1.42479256940781e-05	0.00108523028401196	1	1	339
CACNG2	Horvath	2	1.44749721937964e-05	0.000910013844187162	0	2	340
ZHX2	Horvath	2	1.67738213035939e-05	0.000594569335498599	0	2	341
GREB1	Horvath	2	2.15384916082572e-05	0.000292548893707608	0	2	342
C1orf222	Horvath	2	2.22326338076161e-05	0.000390482547430248	0	2	343
SCD	Horvath	2	2.33584845253405e-05	0.000372973026896205	0	2	344
DPP6	Horvath	2	2.53634109848262e-05	0.000434733202437931	0	2	345
AMPH	Horvath	2	2.87198529025978e-05	0.000342165440828608	1	1	346
TRIM62	Horvath	2	3.3989067805585e-05	0.000468235767240759	0	2	347
PARK2	Horvath	2	3.43376691342115e-05	0.00070533893662523	0	2	348
CA12	Horvath	2	3.59015020674471e-05	0.000422023531945935	0	2	349
FGD5P1	Horvath	2	3.59015020674471e-05	0.000421464663836805	0	2	350
ZNF672	Horvath	2	4.02609316594071e-05	0.000401803340855546	0	2	351
LONP1	Horvath	2	4.09598617544295e-05	0.000526778853030394	0	2	352
RP5-894D12.3, RP5-894D12.5	Horvath	2	4.2809471658202e-05	0.000202233197601319	1	1	353
TMEM229B	Horvath	2	4.47119340828245e-05	0.000520872928847853	0	2	354
TNFRSF8	Horvath	2	4.57829839307482e-05	0.00104982633660043	0	2	355
CAPN15	Horvath	2	4.82244545847671e-05	0.000382597124006393	0	2	356
CAMKK2	Horvath	2	4.87857606821872e-05	0.0003668787801454	0	2	357
STK24	Horvath	2	4.89568924127358e-05	0.000815734085648938	0	2	358
